개념라벨,판정,큐레이션질의,규칙,폴더예시,코호트
Prevalent Atrial Fibrillation (AF) at SHHS Visit 1,파생변수,atrial fibrillation,cvd-af,CVD Outcomes,SHHS
Previous history of stroke,재질의,history of cerebrovascular accident|cerebrovascular accident,cvd-histstroke,Medical History,SHHS
Race/ethnicity of the participant,재질의,race|ethnic group,demo-race,Administrative,MESA
Rapid eye movement sleep (REM) Latency I,신규클래스,sleep latency|rapid eye movement sleep,psg-remlat,Measurements/Polysomnography/Sleep Architecture,SHHS
Rapid eye movement sleep (REM) Latency I - including wake time,신규클래스,sleep latency|rapid eye movement sleep,psg-remlat,Measurements/Polysomnography/Sleep Architecture,SHHS
Rapid eye movement sleep (REM) Latency II - excluding wake,신규클래스,sleep latency|rapid eye movement sleep,psg-remlat,Measurements/Polysomnography/Sleep Architecture,SHHS
Reason sleep apnea not treated,설문항목,sleep apnea syndrome,tx-reason,Interim,SHHS
REM Latency II: the interval between sleep onset and first REM while asleep (excluding wake) from type II polysomnography,신규클래스,sleep latency|rapid eye movement sleep,psg-remlat,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,MESA
REM Sleep Latency: the interval between the first sleep epoch and REM sleep excluding wake,신규클래스,sleep latency|rapid eye movement sleep,psg-remlat,Harmonized/Polysomnography/Sleep Architecture,MESA
REM Sleep Latency: the interval between the first sleep epoch and REM sleep including wake,신규클래스,sleep latency|rapid eye movement sleep,psg-remlat,Harmonized/Polysomnography/Sleep Architecture,MESA
Runny or stuffy nose,재질의,nasal congestion|rhinorrhea,mh-nasal,Medical History,SHHS
Second Generation Sulfonylureas,재질의,sulfonylurea,med-sulfonyl,Medications,SHHS
Self-reported daily sleep duration on weekdays from survey questionnaires,설문항목,sleep duration,q-sleepdur,Sleep Questionnaires/Sleep Habits,MESA
Self-reported daily sleep duration on weekends from survey questionnaires,설문항목,sleep duration,q-sleepdur,Sleep Questionnaires/Sleep Habits,MESA
Self-reported end time of the in-bed period on weekdays in 24-hour format from survey questionnaires,설문항목,bedtime|sleep duration,q-inbedtime,Sleep Questionnaires/Sleep Habits,MESA
Self-reported end time of the in-bed period on weekends in 24-hour format from survey questionnaires,설문항목,bedtime|sleep duration,q-inbedtime,Sleep Questionnaires/Sleep Habits,MESA
Self-reported hypertension (HTN),재질의,essential hypertension|hypertension,mh-htn,Medical History,SHHS
Self-reported start time of the in-bed period on weekdays in 24-hour format,설문항목,bedtime|sleep duration,q-inbedtime,Sleep Questionnaires/Sleep Habits,MESA
Self-reported start time of the in-bed period on weekends in 24-hour format,설문항목,bedtime|sleep duration,q-inbedtime,Sleep Questionnaires/Sleep Habits,MESA
Sinus trouble,재질의,sinusitis|sinus disorder,mh-sinus,Medical History,SHHS
Site of Arm (Ankle Arm Blood Pressure Index-AAI) Measurement,관리변수,,admin-site,Measurements/Blood Pressure,SHHS
Site of Arm blood pressure (BP) Measurement,관리변수,,admin-site,Measurements/Blood Pressure,SHHS
Sleep Habits Form present,관리변수,,admin-form,Interim,SHHS
Sleep Maintenance Efficiency: the proportion of sleep duration in sleep period from type II polysomnography,신규클래스,sleep efficiency|sleep quality,psg-maint,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,MESA
"Sleep Maintenance Efficiency: the proportion of total sleep duration (i.e., total sleep time) in sleep period (i.e., interval between sleep onset and offset including wake) from polysomnography",신규클래스,sleep efficiency|sleep quality,psg-maint,Harmonized/Polysomnography/Sleep Architecture,MESA
"Sleep Time (Non-rapid eye movement sleep (NREM), Non-supine)",신규클래스,sleep duration,psg-postime,Measurements/Polysomnography/Sleep Architecture,SHHS
"Sleep Time (Non-rapid eye movement sleep (NREM), Supine)",신규클래스,sleep duration,psg-postime,Measurements/Polysomnography/Sleep Architecture,SHHS
"Sleep Time (Rapid eye movement sleep (REM), Non-supine)",신규클래스,sleep duration,psg-postime,Measurements/Polysomnography/Sleep Architecture,SHHS
"Sleep Time (Rapid eye movement sleep (REM), Supine)",신규클래스,sleep duration,psg-postime,Measurements/Polysomnography/Sleep Architecture,SHHS
Sleep time used in calculations,관리변수,,admin-rec,Measurements/Polysomnography/Sleep Architecture,SHHS
Slow-Release Ccbs (Nifsr Or Dihsr Or Versr Or Dltsr Or Amlod),재질의,calcium channel blocker,med-ccb,Medications,SHHS
Slow-release CCBS = NIFSR or DIHSR or VERSR or DLTSR or AMLOD,재질의,calcium channel blocker,med-ccb,Medications,SHHS
Smoked cigarettes in last 30 days,재질의,cigarette smoking|tobacco smoking,demo-smoke,Lifestyle and Behavioral Health,MESA
Stopped breathing during sleep,설문항목,apnea|sleep apnea syndrome,q-brstop,Interim,SHHS
Study scored sleep/wake rather than with full sleep staging if there is not sufficient quality on EEG lead. Studies scored as sleep wake have all sleep stages scored using a default of Stage 2 and no arousals are scored.,관리변수,,admin-scoring,Harmonized/Polysomnography/Signal Quality,MESA
Subject race,재질의,race|ethnic group,demo-race,Harmonized/Sociodemographics,MESA
Supine ankle systolic blood pressure (BP),재질의,systolic blood pressure,bp-systolic,Measurements/Blood Pressure,SHHS
Supine arm systolic blood pressure (BP),재질의,systolic blood pressure,bp-systolic,Measurements/Blood Pressure,SHHS
Thiazide diuretics with k-sparing agents,재질의,thiazide diuretic,med-thiazide,Medications,SHHS
Thiazide diuretics without k-sparing agents,재질의,thiazide diuretic,med-thiazide,Medications,SHHS
Throat/Uvula Surgery for Sleep Apnea: Self-reported,재질의,uvulopalatopharyngoplasty|palatopharyngoplasty,tx-surgery,Sleep Treatment,MESA
Time in stage 1 sleep,신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Measurements/Polysomnography/Sleep Architecture,SHHS
Time in stage 2 sleep,신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Measurements/Polysomnography/Sleep Architecture,SHHS
Time in stage 3-4 sleep,신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Measurements/Polysomnography/Sleep Architecture,SHHS
Time in Stage 3/4,신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Measurements/Polysomnography/Sleep Architecture,SHHS
Time in stage 3/4 sleep,신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Measurements/Polysomnography/Sleep Architecture,SHHS
Told by doctor or some other sleep disorder,설문항목,sleep disorder,q-toldother,Interim,SHHS
Told by doctor that you had sleep apnea,설문항목,sleep apnea syndrome,q-toldosa,Interim,SHHS
Total duration of REM sleep from type II polysomnography,신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,MESA
Total duration of Stage 1 sleep from type II polysomnography,신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,MESA
Total duration of Stage 2 sleep from type II polysomnography,신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,MESA
Total duration of Stage 3 and 4 sleep from type II polysomnography,신규클래스,sleep stage|rapid eye movement sleep,psg-stagetime,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,MESA
Total In-bed Period: the interval between lights off/in-bed time and lights on/out-bed time from polysomnography,신규클래스,sleep duration,psg-inbed,Harmonized/Polysomnography/Sleep Architecture,MESA
Total In-bed Period: the interval between lights out/in-bed time and lights off/out-bed time from type II polysomnography,신규클래스,sleep duration,psg-inbed,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,MESA
Total number of arousals during NREM sleep in non-supine position from type II polysomnography,신규클래스,arousal|sleep arousal,psg-arousal,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,MESA
Total number of arousals during NREM sleep in supine position from type II polysomnography,신규클래스,arousal|sleep arousal,psg-arousal,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,MESA
Total number of arousals during REM sleep in non-supine position from type II polysomnography,신규클래스,arousal|sleep arousal,psg-arousal,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,MESA
Total number of arousals during REM sleep in supine position from type II polysomnography,신규클래스,arousal|sleep arousal,psg-arousal,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Arousals,MESA
Total Recording Period: the interval between recording start and end time from type II polysomnography,관리변수,,admin-rec,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,MESA
Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from polysomnography,재질의,sleep duration,psg-tst,Harmonized/Polysomnography/Sleep Architecture,MESA
Total Sleep Duration: the interval between sleep onset and sleep offset while the participant is asleep from type II polysomnography,재질의,sleep duration,psg-tst,Sleep and Circadian Studies/Polysomnography/Sleep Electroencephalogram (EEG)/Sleep Architecture,MESA
Treated for snoring since sleep study,설문항목,snoring,q-snore,Interim,SHHS
Type of fatal stroke,파생변수,cerebrovascular accident|stroke,cvd-stroke,CVD Outcomes,SHHS
Usual number of naps per week,설문항목,nap|napping,q-nap,Interim,SHHS
"Vasodilators with diuretics, a mixed group",재질의,vasodilator,med-vasodil,Medications,SHHS
Vital status at last contact,파생변수,death,cvd-vital,CVD Outcomes,SHHS
Weekday or workday: usual hours of sleep,설문항목,sleep duration,q-sleepdur,Interim,SHHS
Weekend or non-workday: usual hours of sleep,설문항목,sleep duration,q-sleepdur,Interim,SHHS
Weight at Blood Pressure (BP) measurement,재질의,body weight,bp-weight,Measurements/Anthropometry,SHHS
Women's Health Initiative Insomnia Rating Scale: Total score,설문항목,insomnia,q-whiirs,Sleep Questionnaires/Sleep Disturbance or Insomnia/Women's Health Initiative Insomnia Rating Scale (WHIIRS),MESA
